SN,PROVINCE,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1,KOSHI PROVINCE,TAPLEJUNG,0,0,0,0,1,0,1,2,2,0,0,0,6
2,KOSHI PROVINCE,SANKHUWASABHA,3,8,6,6,4,5,27,32,50,2,0,0,143
3,KOSHI PROVINCE,SOLUKHUMBU,2,0,0,0,1,0,1,1,5,2,0,0,12
4,KOSHI PROVINCE,OKHALDHUNGA,5,16,6,3,7,8,14,22,24,12,0,0,117
5,KOSHI PROVINCE,KHOTANG,1,0,1,1,1,6,5,8,14,1,0,0,38
6,KOSHI PROVINCE,BHOJPUR,4,4,2,4,9,16,23,41,43,0,0,0,146
7,KOSHI PROVINCE,DHANKUTA,2,5,5,1,2,29,15,17,26,4,0,0,106
8,KOSHI PROVINCE,TERHATHUM,0,0,0,0,2,10,13,6,9,1,0,0,41
9,KOSHI PROVINCE,PANCHTHAR,0,1,1,0,2,0,4,14,47,0,0,0,69
10,KOSHI PROVINCE,ILAM,8,3,3,4,2,11,6,3,12,3,0,0,55
11,KOSHI PROVINCE,JHAPA,"2
2",17,11,10,44,15,10,38,46,12,0,0,225
12,KOSHI PROVINCE,MORANG,8,1,2,1,1,2,5,54,83,17,0,0,174
13,KOSHI PROVINCE,SUNSARI,5,3,2,4,3,4,11,36,112,4,0,0,184
14,KOSHI PROVINCE,UDAYAPUR,2,0,1,0,2,0,4,24,69,4,0,0,106
15,MADHESH PROVINCE,SAPTARI,1,0,0,1,1,0,0,10,29,2,0,0,44
16,MADHESH PROVINCE,SIRAHA,0,0,0,0,0,2,1,4,27,0,0,0,34
17,MADHESH PROVINCE,DHANUSA,1,0,0,0,0,0,1,4,33,4,0,0,43
18,MADHESH PROVINCE,MAHOTTARI,0,0,0,1,0,0,0,0,9,2,0,0,12
19,MADHESH PROVINCE,SARLAHI,0,0,0,0,0,2,1,11,27,3,0,0,44
20,MADHESH PROVINCE,RAUTAHAT,0,0,1,4,5,3,2,6,25,6,0,0,52
21,MADHESH PROVINCE,BARA,2,2,1,1,2,3,3,9,33,7,0,0,63
22,MADHESH PROVINCE,PARSA,2,1,0,1,1,0,1,14,22,9,0,0,51
